condition,lesion,seed,steps,total_eats,eat_rate_pct,total_danger,danger_rate_pct,deaths,total_shelter,total_sleep_steps,awakenings,final_mirror,final_awareness_idx,final_continuity,final_presence,final_collapse_index,final_closure_depth,ms_per_step,elapsed_s
no-adjacent-food,adjacent_food,23,5000,207,4.14,53,1.06,0,40,1208,30,0.5895389279622971,0.6923076923076923,0.9998321533203125,0.9652499566425712,0.8925489875884827,3,6.091143226623535,30.455716133117676
no-adjacent-food,adjacent_food,24,5000,228,4.5600000000000005,40,0.8,0,57,1208,23,0.583081946595818,0.9245283018867925,0.9997784793376923,0.9610410988466009,0.8097053906224487,3,6.2807845115661625,31.40392255783081
no-adjacent-food,adjacent_food,25,5000,189,3.7800000000000002,42,0.84,0,24,1208,18,0.5682948740182854,0.8947368421052632,0.9987755119800568,0.9648020631482916,0.8809309959897259,1,5.995135927200318,29.975679636001587
no-adjacent-food,adjacent_food,26,5000,221,4.42,36,0.72,0,30,1208,21,0.5091648566105837,1.0,0.9996637105941772,0.9669878459085454,0.8924438604786435,2,6.059380388259887,30.29690194129944
no-adjacent-food,adjacent_food,27,5000,204,4.08,37,0.74,0,43,1208,22,0.5915738266172275,0.6923076923076923,0.9992502629756927,0.9675072133564118,0.8907163688130876,3,6.057247257232666,30.28623628616333
no-adjacent-food,adjacent_food,29,5000,181,3.62,28,0.5599999999999999,0,18,1208,22,0.5247942811106004,0.8125,0.999812513589859,0.9659329237231635,0.8715324198570215,3,5.943239688873291,29.716198444366455
no-adjacent-food,adjacent_food,28,5000,208,4.16,38,0.76,0,20,1208,20,0.5845477432641764,0.95,0.9992282092571259,0.9686538467193193,0.891164823791414,3,6.178783321380616,30.893916606903076
no-adjacent-food,adjacent_food,30,5000,206,4.12,39,0.7799999999999999,0,23,1208,27,0.6004106746560256,0.88,0.9999581277370453,0.9661924145545284,0.8872002388415378,3,6.1212256908416744,30.606128454208374
no-mushroom,mushroom,1,5000,252,5.04,40,0.8,0,20,1208,18,0.5787886350925859,0.6363636363636364,0.9992435276508331,0.9686386055141354,0.8973685896227712,3,6.23019847869873,31.150992393493652
no-mushroom,mushroom,2,5000,244,4.88,36,0.72,0,14,1208,20,0.5424515826448897,0.9666666666666667,0.9992946982383728,0.96457097192262,0.9004044945817881,1,6.267373657226562,31.336868286132812
no-mushroom,mushroom,3,5000,239,4.78,59,1.18,0,43,1208,29,0.551637620608292,0.45454545454545453,0.9987497627735138,0.962495762982456,0.8827543805305068,3,6.180938243865967,30.904691219329834
no-mushroom,mushroom,5,5000,214,4.279999999999999,56,1.1199999999999999,0,48,1208,14,0.5513361770724519,0.7428571428571429,0.9994756579399109,0.9692999731308952,0.8970547148159267,3,6.077856159210205,30.389280796051025
no-mushroom,mushroom,4,5000,228,4.5600000000000005,33,0.66,0,12,1208,23,0.5579564465744915,0.8636363636363636,0.9997057616710663,0.9652752756925437,0.9069218886711254,3,6.233475112915039,31.167375564575195
no-mushroom,mushroom,6,5000,237,4.74,44,0.88,0,19,1208,31,0.5682094913691821,0.8421052631578947,0.999735414981842,0.9663064926867039,0.8891521802790936,3,6.236684417724609,31.183422088623047
no-mushroom,mushroom,7,5000,227,4.54,52,1.04,0,21,1208,30,0.614889983417441,0.75,0.9996472299098969,0.9701237439231998,0.8744554458706159,3,6.195387458801269,30.976937294006348
no-mushroom,mushroom,8,5000,232,4.64,54,1.08,0,21,1208,13,0.5263326493579124,0.6875,0.9998163282871246,0.967547352283365,0.9147692974031325,3,6.1416465759277346,30.708232879638672
no-mushroom,mushroom,9,5000,222,4.44,47,0.9400000000000001,0,25,1208,23,0.5841355042407219,0.7727272727272727,0.9997848868370056,0.9743185762202347,0.8996737685340884,3,6.176735067367554,30.88367533683777
no-mushroom,mushroom,10,5000,249,4.9799999999999995,21,0.42,0,27,1208,23,0.5906689269019565,0.90625,0.9992865920066833,0.9719692870085832,0.9002378584249953,3,6.210380268096924,31.05190134048462
no-mushroom,mushroom,11,5000,276,5.52,35,0.7000000000000001,0,29,1208,13,0.5387305466529376,0.7741935483870968,0.9994038641452789,0.9436704493989359,0.8880468932615172,3,6.33590145111084,31.6795072555542
no-mushroom,mushroom,12,5000,247,4.9399999999999995,39,0.7799999999999999,0,16,1208,21,0.5241784566304173,0.9411764705882353,0.9997179806232452,0.9643002570099333,0.9041736933493054,3,6.348296499252319,31.741482496261597
no-mushroom,mushroom,13,5000,221,4.42,48,0.96,0,25,1208,21,0.5933282098133965,0.875,0.9999728500843048,0.9653182428363222,0.8994026633862662,2,6.106460285186768,30.532301425933838
no-mushroom,mushroom,14,5000,222,4.44,30,0.6,0,15,1208,11,0.5749439251832793,0.47058823529411764,0.9998389780521393,0.9662837680702601,0.9070444608201145,2,6.083805656433105,30.419028282165527
no-mushroom,mushroom,15,5000,208,4.16,40,0.8,0,20,1208,13,0.5680831472810552,0.9629629629629629,0.9987296164035797,0.9627117836285204,0.9008602519463712,2,6.143521785736084,30.71760892868042
no-mushroom,mushroom,17,5000,243,4.859999999999999,41,0.8200000000000001,0,8,1208,23,0.6026121047785349,0.9230769230769231,0.9990997612476349,0.9634337348149795,0.8816673149689026,3,6.193657445907593,30.968287229537964
no-mushroom,mushroom,16,5000,248,4.96,46,0.9199999999999999,0,13,1208,30,0.5933934520086379,0.875,0.9987398386001587,0.9698405828471761,0.9120320170947107,2,6.273309850692749,31.366549253463745
no-mushroom,mushroom,18,5000,238,4.760000000000001,33,0.66,0,38,1208,22,0.607438959297239,0.6,0.999427855014801,0.9635170761172468,0.9005319621762126,2,6.278457069396973,31.392285346984863
no-mushroom,mushroom,19,5000,218,4.36,41,0.8200000000000001,0,25,1208,30,0.5685371150664006,0.92,0.9998528361320496,0.966981182722205,0.897990121311782,3,6.163249969482422,30.81624984741211
no-mushroom,mushroom,20,5000,242,4.84,47,0.9400000000000001,0,31,1208,18,0.6012888250803603,0.9545454545454546,0.9998590648174286,0.9656249617849755,0.8935161042755,2,6.225451850891114,31.127259254455566
no-mushroom,mushroom,22,5000,229,4.58,31,0.62,0,18,1208,22,0.5793778258806835,0.8285714285714286,0.9992533922195435,0.9666805401188665,0.9057600359676099,2,6.193939208984375,30.969696044921875
no-mushroom,mushroom,21,5000,240,4.8,36,0.72,0,17,1208,17,0.5493010253804992,0.6875,0.9990839958190918,0.9619759114388735,0.897616637172718,3,6.3872294425964355,31.936147212982178
no-mushroom,mushroom,23,5000,216,4.32,46,0.9199999999999999,0,27,1208,24,0.6186277964331459,0.0,0.9992629587650299,0.9652342259938116,0.8967226531199863,3,6.165401792526245,30.827008962631226
no-mushroom,mushroom,24,5000,241,4.82,44,0.88,0,15,1208,22,0.5710108899081066,0.8571428571428571,0.9995481073856354,0.9631019979352877,0.8753625373154917,2,6.323204565048218,31.61602282524109
no-mushroom,mushroom,25,5000,248,4.96,37,0.74,0,22,1208,21,0.5794228749623721,0.7647058823529411,0.9995749890804291,0.9626202776177363,0.8976241806563533,1,6.262725973129273,31.313629865646362
no-mushroom,mushroom,27,5000,190,3.8,33,0.66,0,17,1208,23,0.5747947748897836,0.0,0.999689370393753,0.9639211974859917,0.8815044606408624,3,5.9364851951599125,29.68242597579956
no-mushroom,mushroom,26,5000,253,5.06,36,0.72,0,37,1208,22,0.5979532601712829,0.8333333333333334,0.9998295605182648,0.9657149000478379,0.8954534240089739,2,6.373602342605591,31.868011713027954
no-mushroom,mushroom,29,5000,233,4.66,33,0.66,0,10,1208,19,0.5616280743986787,0.7837837837837838,0.9978586137294769,0.9645844892499115,0.9013535512999825,1,6.259577226638794,31.29788613319397
no-mushroom,mushroom,28,5000,261,5.220000000000001,41,0.8200000000000001,0,14,1208,25,0.5515633292240818,0.7619047619047619,0.9996868073940277,0.9703165789213601,0.9023298797672099,1,6.28372278213501,31.41861391067505
no-mushroom,mushroom,30,5000,240,4.8,33,0.66,0,33,1208,20,0.5884689677343526,0.7857142857142857,0.9998458027839661,0.9680684666767304,0.8839707821520131,3,6.303150844573975,31.515754222869873
no-central-complex,central_complex,1,5000,231,4.62,35,0.7000000000000001,0,13,1208,27,0.5657873304288346,0.7741935483870968,0.9998796284198761,0.9693997648898574,0.9019865460822175,3,6.237759590148926,31.18879795074463
no-central-complex,central_complex,2,5000,229,4.58,34,0.6799999999999999,0,29,1208,19,0.6090804967475139,1.0,0.9996557831764221,0.9658683691133961,0.898020413214147,2,6.177608346939087,30.888041734695435
no-central-complex,central_complex,3,5000,228,4.5600000000000005,40,0.8,0,19,1208,17,0.5672813453331541,0.6666666666666666,0.999367743730545,0.971394123047766,0.8783431043054603,2,6.092518424987793,30.462592124938965
no-central-complex,central_complex,4,5000,211,4.22,35,0.7000000000000001,0,12,1208,20,0.5638086905438942,0.8571428571428571,0.9996986389160156,0.9784030583572287,0.8987456438592849,3,6.09637770652771,30.48188853263855
no-central-complex,central_complex,5,5000,248,4.96,41,0.8200000000000001,0,29,1208,24,0.5705644506972192,0.925,0.9999417662620544,0.9670118205773922,0.8948728338106954,3,6.375556564331054,31.877782821655273
no-central-complex,central_complex,6,5000,250,5.0,33,0.66,0,3,1208,17,0.5371308989464982,0.8,0.999845415353775,0.9779262504256118,0.8949235001940844,3,6.207126140594482,31.035630702972412
no-central-complex,central_complex,7,5000,258,5.16,20,0.4,0,38,1208,22,0.5823662397452194,0.65,0.999535322189331,0.9641536461042941,0.8800473636034458,3,6.278663635253906,31.39331817626953
no-central-complex,central_complex,8,5000,220,4.3999999999999995,55,1.0999999999999999,0,15,1208,21,0.5389760173687435,0.8148148148148148,0.9996904134750366,0.9664759791917513,0.9065377304665753,3,6.132994079589844,30.66497039794922
