seed,t,cum_eats,cum_danger,cum_awakenings,energy,mb_firing_rate,mb_w_self_mean,mb_to_motor_w_mean,mb_to_motor_w_max,mirror,awareness_idx,collapse,presence,self_pe
3,24000,1193,109,107,0.8955060706853863,0.011930000000000001,0.07083640992641449,0.07636594772338867,1.2912347316741943,0.5630491829625075,0.9454545454545454,0.818818283201249,0.9675723216218597,0.16348506922302003
3,24500,1222,116,110,0.9985304005146026,0.011845000000000001,0.07063127309083939,0.0775592029094696,1.411037564277649,0.5689451518118621,0.9830508474576272,0.7516071162443622,0.9637774058583451,0.231986759428987
3,25000,1240,119,113,0.698049101948738,0.013555,0.07050425559282303,0.07832863181829453,1.450909972190857,0.5747088609490788,0.2,0.5606261284611482,0.9672780030964521,0.11071788613499703
3,25500,1264,119,115,0.8199706938982012,0.014865,0.07033523917198181,0.07933016866445541,1.53073251247406,0.5794158945793441,0.7333333333333333,0.7746968165173436,0.971355624968434,0.1426818094691292
3,26000,1292,119,119,0.9955631229639053,0.012355000000000001,0.07013857364654541,0.08052600920200348,1.5705136060714722,0.5986923908250381,0.8636363636363636,0.9008917224824076,0.9636454248112876,0.21607443464169093
3,26500,1314,127,121,0.9867206859350206,0.0139,0.06998443603515625,0.08151070773601532,1.5703405141830444,0.6057795434233748,0.7777777777777778,0.8616923202185713,0.9656701181567965,0.30249699536521996
3,27000,1339,127,123,0.9882141213178635,0.012229999999999998,0.0698096826672554,0.08259541541337967,1.6901376247406006,0.5868174026277644,0.8181818181818182,0.823822852859569,0.9636188563908664,0.1786887788316092
3,27500,1362,127,125,0.966116544651985,0.013830000000000002,0.06964929401874542,0.08361345529556274,1.7699381113052368,0.5562342620336959,1.0,0.763238467985501,0.967402042194685,0.273786578709296
3,28000,1382,128,127,0.6380948715209958,0.014185,0.06951013207435608,0.08449515700340271,1.8097573518753052,0.5445759547634952,0.8333333333333334,0.5589600774205474,0.9675550913271997,0.08525772233465403
3,28500,1407,128,130,0.8074679059505461,0.01207,0.06933657079935074,0.08562124520540237,1.9695227146148682,0.5447554964150474,0.7741935483870968,0.7749314132010134,0.9668201734899378,0.3772377225462635
3,29000,1434,128,131,0.9733900066375734,0.015094999999999999,0.06914961338043213,0.08686544746160507,1.9998598098754883,0.5590479147333612,0.0,0.8904217669227169,0.9681734731064827,0.2261729344540076
3,29500,1455,134,133,0.9985262427330017,0.015005000000000001,0.06900455057621002,0.08781882375478745,1.9996495246887207,0.5753483433574502,0.625,0.8608678020300666,0.9689665070897521,0.15626290974646034
3,30000,1472,134,136,0.982237557530403,0.01498,0.06888734549283981,0.08857545256614685,1.9998397827148438,0.6078122758018414,0.7037037037037037,0.7966308603301546,0.9618401463567157,0.22959222705468926
