condition,lesion,seed,steps,total_eats,eat_rate_pct,total_danger,deaths,total_sleep_steps,awakenings,final_mirror,final_awareness_idx,final_continuity,final_collapse_index,final_closure_depth
NO-SLEEP,sleep,10,8000,407,5.0874999999999995,35,0,0,42,0.5763058884544308,0.9032258064516129,0.9996210038661957,0.9265427408326661,3
NO-SLEEP,sleep,16,8000,382,4.775,43,0,0,35,0.5497825223091868,0.9354838709677419,0.999704897403717,0.9164669686960808,3
NO-SLEEP,sleep,15,8000,432,5.4,34,0,0,43,0.5884523765480917,0.9166666666666666,0.9999087452888489,0.9312084007543824,3
NO-SLEEP,sleep,18,8000,358,4.475,48,1,0,52,0.5885378287449883,0.8518518518518519,0.9994235932826996,0.9319441695118247,3
NO-SLEEP,sleep,17,8000,392,4.9,47,0,0,37,0.5669704557320183,0.8125,0.99961718916893,0.9218057882861693,3
NO-SLEEP,sleep,19,8000,338,4.2250000000000005,52,0,0,39,0.4972993599553903,0.9583333333333334,0.9998641610145569,0.9496519374221768,3
NO-SLEEP,sleep,20,8000,375,4.6875,55,0,0,25,0.5565763249836218,0.9714285714285714,0.9990443587303162,0.9221139383376584,2
NO-SLEEP,sleep,21,8000,375,4.6875,49,0,0,45,0.5704548453879645,0.8095238095238095,0.9997208714485168,0.91804084363896,3
NO-SLEEP,sleep,23,8000,364,4.55,46,0,0,51,0.6082283253259504,0.8837209302325582,0.999946117401123,0.9366021492200491,3
NO-SLEEP,sleep,26,8000,372,4.65,44,0,0,50,0.5587698662290892,0.6190476190476191,0.9990055561065674,0.9210759995842555,2
NO-SLEEP,sleep,22,8000,371,4.6375,44,0,0,36,0.5236466911961855,0.8275862068965517,0.9988217949867249,0.9107013419351466,2
NO-SLEEP,sleep,27,8000,322,4.025,62,0,0,27,0.5661260041493996,0.95,0.9992116987705231,0.9337581006118709,3
NO-SLEEP,sleep,24,8000,364,4.55,44,0,0,50,0.5491015047262954,0.918918918918919,0.9991292059421539,0.9345779980465699,2
NO-SLEEP,sleep,25,8000,402,5.025,54,0,0,38,0.5780587265583386,0.75,0.9999245703220367,0.9228856017542444,2
NO-SLEEP,sleep,28,8000,379,4.7375,54,0,0,43,0.6054183417495866,0.9761904761904762,0.99988853931427,0.9285448570656281,1
NO-SLEEP,sleep,29,8000,374,4.675,38,0,0,42,0.5605118291218136,0.6756756756756757,0.999867171049118,0.925854404203954,3
NO-SLEEP,sleep,30,8000,394,4.925,52,0,0,44,0.5709791505078421,0.9736842105263158,0.9987508654594421,0.9239041303886476,2
