seed,t,cum_eats,cum_danger,cum_awakenings,energy,mb_firing_rate,mb_w_self_mean,mb_to_motor_w_mean,mb_to_motor_w_max,cx_to_motor_w_mean,lh_to_motor_w_mean,seg_to_motor_w_mean,vis_to_mush_w_mean,mirror,awareness_idx,collapse,presence,self_pe
2,24000,1143,107,114,0.9411011434316636,0.013505,0.07116095721721649,0.07409485429525375,1.3861870765686035,0.2936986982822418,0.3033568561077118,0.18644408881664276,0.04947608709335327,0.5657498801004466,0.7297297297297297,0.8187896835077706,0.9683778451285776,0.12591776447646152
2,25000,1181,107,117,0.718826973104477,0.01386,0.07089105993509293,0.07565180957317352,1.7058950662612915,0.2969527840614319,0.3065513074398041,0.1915694922208786,0.04967135563492775,0.5819100282670149,0.8055555555555556,0.5414090683714029,0.9916080304690578,0.352877845568921
2,26000,1238,107,124,0.9392531253099438,0.012215,0.07048812508583069,0.07802096009254456,1.9453742504119873,0.3012390732765198,0.31097176671028137,0.1992075890302658,0.049969833344221115,0.5984562603577458,0.9259259259259259,0.9000793008109591,0.9659935190311045,0.14619403524891653
2,27000,1275,113,130,0.9600693929195404,0.014575000000000001,0.07022780179977417,0.07957027107477188,1.9999899864196777,0.30430206656455994,0.3140850365161896,0.2043064832687378,0.05017048865556717,0.5618346883458077,0.8214285714285714,0.8221589713926096,0.9653509610453745,0.18909643257348951
2,28000,1326,113,137,0.8505505294084553,0.012315,0.06987053900957108,0.08178375661373138,1.999889850616455,0.3074484169483185,0.31721606850624084,0.21133869886398315,0.050443802028894424,0.5952758573913453,0.84375,0.5692621819976755,0.9770693395590552,0.056171751907594936
2,29000,1375,113,146,0.9159871114492415,0.01229,0.06952901184558868,0.08394405245780945,1.9998798370361328,0.31072306632995605,0.32055652141571045,0.2181212306022644,0.050715506076812744,0.5812021801630072,0.9523809523809523,0.8797809952049832,0.9756595522717518,0.21229577832672003
2,30000,1431,113,148,0.9970445567846299,0.01254,0.0691407322883606,0.08646047860383987,1.9999699592590332,0.3140425980091095,0.32404467463493347,0.22584494948387146,0.051040168851614,0.528309423516133,0.8571428571428571,0.8113781814782053,0.9707860706572502,0.2548261261649233
2,31000,1473,115,156,0.7069940824508669,0.012339999999999999,0.06885093450546265,0.08840259164571762,1.9999699592590332,0.31673476099967957,0.32666900753974915,0.23166072368621826,0.05129256471991539,0.5854257498464404,0.8333333333333334,0.5607799495867517,0.9674606258131134,0.1087281345689309
2,32000,1542,115,161,0.9896639492750168,0.014785,0.06837749481201172,0.09163190424442291,1.9999098777770996,0.320167601108551,0.3300808072090149,0.24099570512771606,0.05171176791191101,0.6044595318863544,0.8695652173913043,0.8910349384677656,0.9726856649297875,0.31672739776081277
2,33000,1580,117,161,0.9794024979352951,0.0152,0.0681181401014328,0.09347031265497208,1.999959945678711,0.32208216190338135,0.33203089237213135,0.24612797796726227,0.051946282386779785,0.509284087475471,0.8,0.8135089020386345,0.9747928623430634,0.4615896724988832
2,34000,1616,126,169,0.7090572298288355,0.014715,0.06787335872650146,0.09522060304880142,1.9999899864196777,0.3237699866294861,0.33369794487953186,0.2510477602481842,0.05217515304684639,0.5749773501459012,0.8333333333333334,0.5776316689215305,0.9675898832954684,0.10129947084816579
2,35000,1681,130,174,1.0,0.013855,0.06743361055850983,0.09853525459766388,1.9999899864196777,0.326163113117218,0.33624181151390076,0.2598114013671875,0.05260351300239563,0.6011961915764058,0.925,0.8976504632802633,0.9631929447913736,0.30973840346648035
2,36000,1719,131,178,0.998524651503563,0.01482,0.06717785447835922,0.10050766915082932,1.9999899864196777,0.32802581787109375,0.33813151717185974,0.2648999094963074,0.05285953730344772,0.5433985618929985,0.9090909090909091,0.8158394198403854,0.9663566943031032,0.2918540558171368
2,37000,1767,131,184,0.8333270284175875,0.016845,0.06685617566108704,0.10295150429010391,1.9999899864196777,0.32987162470817566,0.3400931656360626,0.27108877897262573,0.05317937210202217,0.5726594865071101,0.6666666666666666,0.62132164851554,0.9666080138644207,0.08355283875563804
2,38000,1843,134,189,0.9867361923217772,0.014345,0.06634999066591263,0.1069166511297226,1.9999899864196777,0.3332566022872925,0.34355393052101135,0.2806375026702881,0.0537114180624485,0.5783559554347276,0.9666666666666667,0.895735368806833,0.9728934426317641,0.4775598100361883
2,39000,1896,138,196,0.9807616532802582,0.014714999999999999,0.06599926948547363,0.1097378060221672,1.9999899864196777,0.3351065516471863,0.3454543352127075,0.28706684708595276,0.05408719554543495,0.5747795056517082,0.9428571428571428,0.8042841038392199,0.963901921671026,0.27346017825953434
2,40000,1959,139,206,0.6984128333568578,0.017085000000000003,0.06558477133512497,0.11311852931976318,1.9999899864196777,0.337093710899353,0.34744083881378174,0.2945583760738373,0.05454267933964729,0.5841463034270108,0.8484848484848485,0.5686703095451985,0.973225315901854,0.10702795562968946
2,41000,2013,139,212,0.9734341481447221,0.015595000000000001,0.0652315765619278,0.11612328886985779,1.9999899864196777,0.33880290389060974,0.3490843176841736,0.30078577995300293,0.05494106933474541,0.5931888395781424,0.9,0.9112125197058893,0.9668346892354907,0.2928233817006191
2,42000,2070,143,219,0.9955754534721375,0.017849999999999998,0.06486082822084427,0.11925016343593597,1.9999899864196777,0.3406643867492676,0.35097160935401917,0.30702483654022217,0.05536890774965286,0.5898683170246716,0.8421052631578947,0.8228982637359694,0.9627428942623382,0.2428870673133392
2,43000,2103,144,225,0.8193652561664577,0.02094,0.06464715301990509,0.12118212878704071,1.9999899864196777,0.3417123556137085,0.35202258825302124,0.3104460537433624,0.05562153086066246,0.6036035900446464,0.9777777777777777,0.5914910496444441,0.9701938257757218,0.3171390674599679
2,44000,2148,144,233,0.9600382062673569,0.015555,0.06435688585042953,0.12375390529632568,1.9999899864196777,0.34268298745155334,0.3530140519142151,0.3152720034122467,0.0559728667140007,0.5985960143483849,0.9354838709677419,0.9012862471684626,0.9703322669066565,0.17426712043510945
2,45000,2199,148,243,0.9822761887788773,0.016315000000000003,0.0640294998884201,0.1265822947025299,1.9999899864196777,0.3445117473602295,0.354893296957016,0.32041847705841064,0.056374624371528625,0.6287081800271805,0.9545454545454546,0.8338975014047527,0.966451545741347,0.19241159283633388
2,46000,2234,148,250,0.6902112455844878,0.016285,0.06380579620599747,0.12858855724334717,1.9999899864196777,0.34547892212867737,0.35593146085739136,0.323768675327301,0.056650642305612564,0.6073928933111356,0.6785714285714286,0.5726494828820721,0.9750082830616045,0.34463996320966067
2,47000,2283,159,257,0.9602490403413773,0.021269999999999997,0.06349394470453262,0.13139185309410095,1.9999899864196777,0.34665313363075256,0.3570668399333954,0.32825201749801636,0.057035598903894424,0.5850304390045868,0.7878787878787878,0.8780817484444209,0.9669140893475986,0.327032513646304
